renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,843,0.0,mid-range,0,1373,105560.3,424436.46,470421.0483,518778.0673718569
"[""Bedroom"", ""Other/Custom""]",1,0,250,0.0,mid-range,0,636,45440.4,216279.48,233837.3982,470718.2613586728
"[""Living room"", ""Kitchen""]",0,0,258,107.4867374005305,mid-range,1,745,45458.72,188830.96,211647.84999999998,259451.67101114738
"[""Living room"", ""Kitchen""]",0,0,646,301.0,high-end,1,4052,102053.58,785702.11,854736.3863499999,748201.1019928089
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1716,623.0,high-end,1,2558,315383.17,368487.8,439158.4959285714,339023.3062412534
"[""Kitchen"", ""Other/Custom""]",0,0,370,133.7289719626168,mid-range,1,944,48195.17,321676.61,351333.5359999999,361017.265710204
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",8,4,3261,1740.0,mid-range,1,4094,548443.2599999999,802204.09,951691.7367711539,750964.4994797701
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,571,131.89719626168224,mid-range,1,930,93777.87,292246.53,339321.35085000005,491813.312765633
"[""Bedroom"", ""Bathroom""]",6,4,2203,151.0,mid-range,1,3512,390330.0399999999,470174.57,557979.6709475,583917.6428237398
"[""Living room"", ""Other/Custom""]",0,0,380,143.54205607476635,high-end,1,1019,51473.51,237215.02,257373.452275,259451.67101114738
"[""Bedroom"", ""Kitchen""]",2,0,711,0.0,high-end,0,1171,97020.88,373606.96,422436.1636,467907.5515662078
"[""Bedroom"", ""Living room""]",1,0,478,155.52447552447552,mid-range,1,1102,58123.79,282524.56,305071.42225,259110.37473145
"[""Living room"", ""Other/Custom""]",0,0,260,0.0,high-end,0,731,48206.33,256034.59,275421.65027499996,474032.3731833224
"[""Bedroom"", ""Bathroom""]",3,1,815,0.0,mid-range,0,1447,109750.7,483875.19,532962.9162,467907.5515662078
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,5,2789,301.0,mid-range,1,4132,488533.11,544925.58,663787.4721375001,584499.0331593506
"[""Bedroom"", ""Bathroom"", ""Living room""]",8,4,3027,1439.0,mid-range,1,4066,564079.0100000001,536872.64,638155.7284307692,584499.0331593506
"[""Bathroom"", ""Kitchen""]",0,1,366,0.0,mid-range,0,1183,58593.600000000006,410677.11,453774.72059999994,515996.1562416109
"[""Bedroom"", ""Living room""]",1,0,336,148.18691588785046,mid-range,1,894,45233.39,295576.06,314258.21874999994,359371.8741154736
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1165,0.0,mid-range,0,1603,115990.77,304781.04,354453.3255,442581.28692691075
"[""Bathroom"", ""Living room""]",0,1,393,103.79020979020979,high-end,1,1421,62291.91,386408.3,418556.87930000003,611849.4788960892
"[""Bedroom"", ""Bathroom""]",3,1,1013,322.0,mid-range,1,2037,162873.49,555906.59,623278.1614625,480164.60953967203
"[""Full renovation""]",4,2,2753,0.0,mid-range,0,2753,264646.41,507384.0,610129.2599999999,632017.9335746003
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,741,365.0955710955711,mid-range,1,1142,113475.25,379270.9,426393.73075000005,518778.0673718569
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,832,0.0,budget-friendly,0,1307,103948.38,339889.74,382050.55905,471878.99087377987
"[""Bathroom"", ""Kitchen""]",0,1,443,452.0,mid-range,1,1746,97794.57,551106.77,614978.4657500001,518778.0673718569
"[""Bedroom"", ""Other/Custom""]",2,0,722,182.84615384615384,mid-range,1,1144,85030.39,301505.57,332812.7264,420882.7322267811
"[""Bedroom"", ""Other/Custom""]",5,0,1814,623.0,mid-range,1,2711,252324.34,503353.35,590181.8028749999,742739.9151843397
"[""Bathroom"", ""Other/Custom""]",0,1,509,0.0,budget-friendly,0,1904,72097.68,599904.57,640071.7437,491813.312765633
"[""Bedroom"", ""Other/Custom""]",2,0,925,322.0,mid-range,1,1751,126401.15,352107.51,397205.4848999999,442581.28692691075
"[""Bedroom"", ""Bathroom""]",3,1,930,0.0,mid-range,0,1600,162470.33000000002,312972.87,371655.283125,438354.1998740959
"[""Bathroom"", ""Living room""]",0,1,395,0.0,high-end,0,1320,58273.66,342039.15,371093.5798500001,599125.9764701508
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,3,1972,795.0,mid-range,1,2034,338735.47000000003,588262.33,716209.386775,910626.421425757
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1766,0.0,mid-range,0,2715,289902.35000000003,491508.55,585246.2520357143,742739.9151843397
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,585,157.21495327102804,mid-range,1,963,92207.35,236473.56,279361.51128750003,599125.9764701508
"[""Bedroom"", ""Living room""]",2,0,715,0.0,mid-range,0,1239,83693.65000000001,325421.43,357084.71945,419376.4300117418
"[""Living room"", ""Kitchen""]",0,0,819,0.0,high-end,0,1620,82930.94,407768.9,452863.72864999995,426006.7205032061
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",5,3,2207,0.0,mid-range,0,2396,340242.73999999993,757168.67,886493.1219666667,549548.3606077654
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,884,204.72027972027973,high-end,1,1437,118068.93,214362.43,255359.24473749998,339023.3062412534
"[""Bathroom"", ""Kitchen""]",0,1,477,0.0,budget-friendly,0,6641,70077.98,2307269.31,2466728.8626,2504340.910944834
"[""Bedroom"", ""Kitchen""]",4,0,1571,0.0,budget-friendly,0,2041,190195.39,549479.89,632406.27439,589379.4798394532
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1536,0.0,mid-range,0,1637,227012.35000000003,471141.09,569783.3839,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,3,2385,473.0,budget-friendly,1,3753,380168.07000000007,513082.41,607361.3028375,583628.098793705
"[""Full renovation""]",10,5,6129,301.0,mid-range,1,6129,578960.2399999999,2144790.79,2423678.85115,2500823.911981166
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,2,2078,0.0,mid-range,0,2680,302011.68,411487.96,499829.2814125001,329482.05229326704
"[""Bedroom"", ""Bathroom"", ""Living room""]",8,7,3666,945.0,mid-range,1,4086,663452.3099999999,546390.71,649095.0887703125,585322.9444696801
"[""Bathroom"", ""Kitchen""]",0,1,491,151.0,high-end,1,1861,90347.24,550578.32,612750.0041,722057.5300960252
"[""Living room"", ""Other/Custom""]",0,0,775,301.0,high-end,1,3526,92931.41,447124.98,483802.234425,585322.9444696801
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,783,0.0,high-end,0,1129,94824.56,353762.39,400973.80234999995,362201.48039049795
"[""Bedroom"", ""Bathroom""]",4,3,1489,151.0,mid-range,1,2051,282078.77,548316.53,652300.8433678573,471878.99087377987
"[""Bathroom"", ""Other/Custom""]",0,1,373,91.35664335664336,mid-range,1,1167,53095.44,373928.01,401870.9139,360382.72442315845
"[""Bedroom"", ""Other/Custom""]",8,0,2664,1610.0,mid-range,1,4637,376168.8000000001,1143117.42,1276249.5612999997,857843.3948752978
"[""Living room"", ""Kitchen""]",0,0,646,0.0,high-end,0,1879,82930.94,531329.34,581984.38845,715063.674403916
"[""Living room"", ""Kitchen""]",0,0,349,130.19626168224298,budget-friendly,1,917,43863.23,323336.93,351046.06085,361017.265710204
"[""Kitchen"", ""Other/Custom""]",0,0,791,301.0,mid-range,1,2146,92939.29,428396.61,476950.3337999999,438354.1998740959
"[""Full renovation""]",2,1,1370,194.88111888111888,budget-friendly,1,1370,117191.05,358683.64,409981.7188,471878.99087377987
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,438,153.42056074766356,high-end,1,934,80219.69,298469.19,333895.76340000005,362556.9047908152
"[""Bedroom"", ""Other/Custom""]",4,0,1454,623.0,mid-range,1,2070,211696.47,386688.12,452811.78851999994,438354.1998740959
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1165,0.0,mid-range,0,2416,118565.56,376496.67,430787.17154999997,334674.9581336589
"[""Bedroom"", ""Kitchen""]",2,0,777,0.0,budget-friendly,0,1506,77853.08,214891.39,248306.69195,337972.4055670806
"[""Bedroom"", ""Kitchen""]",4,0,1490,301.0,mid-range,1,2161,204448.35,687277.96,781993.3533999999,470718.2613586728
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1131,301.0,high-end,1,2041,136497.64,530785.17,599032.23565,586295.9356004093
"[""Full renovation""]",6,5,3340,301.0,mid-range,1,3340,440626.84,612516.16,736550.6823999999,749690.1337423729
"[""Bathroom"", ""Living room""]",0,1,532,151.0,mid-range,1,2759,89044.06,768120.22,819212.7055,718133.5629715051
"[""Full renovation""]",5,3,2869,0.0,mid-range,0,2869,333432.37,555728.94,668264.0503499999,632017.9335746003
"[""Living room"", ""Kitchen""]",0,0,224,0.0,mid-range,0,383,47917.57,135690.86,156890.98325,491813.312765633
"[""Full renovation""]",1,1,1005,0.0,budget-friendly,0,1005,80675.32,312333.16,350590.7481999999,362556.9047908152
"[""Bedroom"", ""Other/Custom""]",8,0,2750,966.0,mid-range,1,4085,368452.8600000001,1165492.15,1297809.0069499998,910855.3220634278
"[""Bathroom"", ""Other/Custom""]",0,1,404,0.0,mid-range,0,1477,57587.75,393822.25,423777.05875,611135.9710193529
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,424,0.0,budget-friendly,0,872,63625.34,285452.08,321984.93350000004,360382.72442315845
"[""Bedroom"", ""Bathroom""]",7,5,2601,946.0,mid-range,1,3932,495327.23,497526.31,590812.493125,584356.9210885423
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1125,301.0,mid-range,1,6940,121921.32,2453862.19,2602691.20435,2500823.911981166
"[""Bathroom"", ""Living room""]",0,1,553,0.0,mid-range,0,1770,80772.23000000001,531628.19,573020.2881499999,918049.8174818624
"[""Bedroom"", ""Kitchen""]",2,0,746,363.4848484848485,mid-range,1,1208,82807.13,326029.37,366784.93759999995,473835.47798471845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,3,2448,473.0,mid-range,1,3076,408515.28,591329.3,719499.925775,634424.3807046467
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,5,2623,322.0,mid-range,1,3522,489665.23,673422.31,820733.4403125001,768096.9796926685
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,972,452.0,budget-friendly,1,1596,111446.68,486429.15,534873.95355,514826.1349765647
"[""Full renovation""]",3,2,1690,0.0,budget-friendly,0,1690,227225.3,438947.63,524542.41785,426006.7205032061
"[""Bathroom"", ""Kitchen""]",0,1,401,93.06993006993007,mid-range,1,1202,58037.95,402453.87,444883.05645000003,512787.1344803147
"[""Bedroom"", ""Other/Custom""]",2,0,758,0.0,budget-friendly,0,1424,77205.42,446325.41,476567.9442499999,562615.8913025274
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,1864,473.0,mid-range,1,2573,338692.89,475613.14,565236.49106875,635761.4082269554
"[""Bathroom"", ""Other/Custom""]",0,1,474,0.0,mid-range,0,3622,77393.64,868981.63,919430.0755,891671.9944522413
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,2,1833,151.0,mid-range,1,2080,284558.96,312146.19,380706.87101785716,329482.05229326704
"[""Kitchen"", ""Other/Custom""]",0,0,790,0.0,mid-range,0,2034,79200.85,630538.15,683860.6345,924298.1851105052
"[""Bedroom"", ""Other/Custom""]",1,0,528,178.5198135198135,mid-range,1,1115,57272.92,176630.43,197320.85624999998,329482.05229326704
"[""Bathroom"", ""Kitchen""]",0,1,527,0.0,high-end,0,2091,87956.13,541408.21,602258.5545249999,588676.7985449556
"[""Living room"", ""Other/Custom""]",0,0,776,0.0,mid-range,0,2046,79707.88,552347.19,585740.3800499999,422600.3971445641
"[""Kitchen"", ""Other/Custom""]",0,0,803,301.0,budget-friendly,1,3792,83450.87,1154728.33,1232352.247375,924298.1851105052
"[""Bedroom"", ""Kitchen""]",2,0,908,322.0,mid-range,1,1519,84356.75,426792.13,472148.36835,476497.9429147776
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,613,306.25233644859816,mid-range,1,1012,102259.03,323991.5,375259.11308750004,549128.4854811856
"[""Living room"", ""Other/Custom""]",0,0,723,301.0,mid-range,1,1912,87036.44,555196.81,590941.24075,918049.8174818624
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1216,301.0,mid-range,1,4185,135545.1,1004331.46,1092900.8077,884761.8567269483
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,757,0.0,mid-range,0,1148,110608.32,345857.27,401450.32700000005,362201.48039049795
"[""Bedroom"", ""Other/Custom""]",5,0,1749,322.0,mid-range,1,2793,238524.33,687375.49,771628.6646499999,593131.0463311035
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,2,1878,624.0,mid-range,1,2141,292889.24,438497.1,533870.21925,455750.6403917306
"[""Bathroom"", ""Other/Custom""]",0,1,496,0.0,high-end,0,1655,85514.08,316103.14,353164.525,442581.28692691075
"[""Living room"", ""Other/Custom""]",0,0,805,301.0,budget-friendly,1,3721,82048.88,510546.17,543434.3931499999,585322.9444696801
"[""Bathroom"", ""Kitchen""]",0,1,559,301.0,mid-range,1,3575,87711.9,479268.46,535653.8161,585322.9444696801
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,4,2668,1097.0,budget-friendly,1,3592,429362.17,456093.51,539745.2060386364,584356.9210885423
"[""Bedroom"", ""Bathroom""]",5,3,1676,624.0,mid-range,1,2742,342159.3900000001,404989.61,481684.51739375,334674.9581336589
"[""Kitchen"", ""Other/Custom""]",0,0,338,120.38317757009345,high-end,1,842,48638.67,197293.59,221857.77262499998,259451.67101114738
"[""Bedroom"", ""Other/Custom""]",4,0,1523,301.0,mid-range,1,2420,212112.79,725682.82,804656.2678899999,724209.6059686558
"[""Bedroom"", ""Bathroom""]",1,1,250,77.58878504672897,budget-friendly,1,941,43633.92999999999,276395.02,298104.30407500005,419376.4300117418
"[""Bathroom"", ""Other/Custom""]",0,1,392,202.95804195804197,mid-range,1,1425,55069.34,478592.34,510296.9523,562615.8913025274
"[""Kitchen"", ""Other/Custom""]",0,0,663,0.0,budget-friendly,0,2055,73874.43,529226.48,575204.0005999999,611849.4788960892
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",8,4,3156,623.0,mid-range,1,3998,540237.72,747837.22,889351.0324,748385.3759477742
"[""Living room"", ""Kitchen""]",0,0,572,187.24475524475525,budget-friendly,1,1318,53391.2,468739.68,506250.75959999993,517533.77259986603
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,886,0.0,mid-range,0,1503,120519.31,427859.0,479110.30006250006,715063.674403916
"[""Living room"", ""Kitchen""]",0,0,660,301.0,mid-range,1,3095,87507.87,594594.36,648916.0852499999,636523.1519029945
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1304,0.0,budget-friendly,0,2067,108734.64,687888.36,752007.4013999999,467907.5515662078
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,564,183.74125874125875,high-end,1,1150,99976.02,373230.43,428616.3424,517533.77259986603
"[""Bathroom"", ""Living room""]",0,1,532,0.0,mid-range,0,7483,75698.06,2709174.38,2814294.5002999995,2500823.911981166
"[""Bathroom"", ""Other/Custom""]",0,1,406,0.0,budget-friendly,0,1472,50382.78,491406.43,521641.32774999994,512787.1344803147
"[""Bathroom"", ""Living room""]",0,1,499,151.0,mid-range,1,3672,81225.07,501112.23,541731.49395,583917.6428237398
"[""Full renovation""]",5,2,2813,0.0,high-end,0,2813,315803.23,531305.59,642879.7638999999,634424.3807046467
"[""Living room"", ""Kitchen""]",0,0,763,301.0,mid-range,1,1837,91171.05,543707.0,596892.69575,718133.5629715051
"[""Living room"", ""Other/Custom""]",0,0,754,301.0,budget-friendly,1,3561,77840.83,643605.55,676611.88225,750964.4994797701
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,998,0.0,budget-friendly,0,3509,110300.51,1031043.44,1111082.05035,926886.3923402497
"[""Bedroom"", ""Kitchen""]",4,0,1609,623.0,budget-friendly,1,2161,198744.06000000003,582017.25,667831.2442499999,589379.4798394532
"[""Bedroom"", ""Kitchen""]",8,0,2641,644.0,mid-range,1,3855,374854.63,708330.15,851767.005375,742739.9151843397
"[""Bedroom"", ""Other/Custom""]",7,0,2363,0.0,high-end,0,3206,330099.3500000001,614566.69,723460.2253843748,635761.4082269554
"[""Full renovation""]",2,1,1049,0.0,high-end,0,1049,124144.94,331958.85,387864.8284499999,362201.48039049795
"[""Kitchen"", ""Other/Custom""]",0,0,376,0.0,high-end,0,974,53579.600000000006,307994.19,339133.34955,359371.8741154736
"[""Living room"", ""Other/Custom""]",0,0,597,0.0,high-end,0,1431,56243.01,321845.29,344811.3400749999,473663.46079924994
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,391,70.42367601246106,mid-range,1,826,67003.59,195674.19,222650.54655000003,257189.58842055334
"[""Full renovation""]",1,1,811,116.32710280373831,high-end,1,811,99894.65,180483.36,218384.8656,257189.58842055334
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,3,2450,0.0,mid-range,0,3376,401194.62999999995,638440.12,758626.47259,748385.3759477742
"[""Bathroom"", ""Kitchen""]",0,1,500,301.0,mid-range,1,2737,88833.54000000001,820415.72,897623.2283,724209.6059686558
"[""Living room"", ""Other/Custom""]",0,0,722,301.0,mid-range,1,3467,88103.77,1059399.25,1103042.9263,910855.3220634278
"[""Bedroom"", ""Kitchen""]",2,0,888,0.0,mid-range,0,1763,120881.55,482500.9,542291.1287499999,473835.47798471845
"[""Bedroom"", ""Other/Custom""]",7,0,2269,623.0,high-end,1,3863,350703.69,502991.67,592115.5065281249,583917.6428237398
"[""Full renovation""]",1,1,1032,0.0,mid-range,0,1032,86743.29000000001,319813.13,361528.8572,362556.9047908152
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1234,0.0,mid-range,0,1551,78405.81,458839.4,503792.9741,715063.674403916
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,842,189.006993006993,mid-range,1,1330,84071.20000000001,416363.16,461581.93019999994,515996.1562416109
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,845,192.53146853146853,mid-range,1,1354,83941.01000000001,419891.62,465228.16104999994,467907.5515662078
"[""Living room"", ""Other/Custom""]",0,0,731,301.0,high-end,1,1798,95543.44,351435.24,388236.1038,453214.30405612406
"[""Bedroom"", ""Bathroom""]",2,1,544,94.97902097902097,high-end,1,1241,89742.55,249422.47,286071.47285,456784.7012993054
"[""Bedroom"", ""Kitchen""]",2,0,759,0.0,mid-range,0,1334,87268.26000000001,418573.73,465335.39105,518778.0673718569
"[""Bedroom"", ""Living room""]",5,0,1766,322.0,mid-range,1,2849,239502.79,755750.63,841332.7543499998,599125.9764701508
"[""Kitchen"", ""Other/Custom""]",0,0,766,0.0,budget-friendly,0,1872,76449.22,465261.33,509706.225,590999.7312847051
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,600,161.00934579439252,mid-range,1,992,95953.66,293668.32,333063.59872500005,360382.72442315845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1414,301.0,mid-range,1,1986,202994.25000000003,525848.85,620733.9870000001,588676.7985449556
"[""Kitchen"", ""Other/Custom""]",0,0,592,0.0,budget-friendly,0,1425,52094.56,525102.8,564751.5032,551406.6991672434
"[""Bathroom"", ""Living room""]",0,1,250,0.0,high-end,0,776,50931.380000000005,196412.33,219112.0553,258778.52985726285
"[""Kitchen"", ""Other/Custom""]",0,0,392,143.54205607476635,high-end,1,1019,55757.240000000005,169206.46,194802.46059999996,339023.3062412534
"[""Bathroom"", ""Living room""]",0,1,436,0.0,mid-range,0,1677,82762.45000000001,332285.3,368324.03075,442311.88738048566
"[""Living room"", ""Other/Custom""]",0,0,677,301.0,budget-friendly,1,2071,81065.49,406794.8,437216.3689999999,438354.1998740959
"[""Bedroom"", ""Other/Custom""]",3,0,1138,322.0,mid-range,1,1763,167244.06,349872.13,407802.09085,442581.28692691075
"[""Bedroom"", ""Kitchen""]",7,0,2258,322.0,mid-range,1,3258,322141.15,639165.81,768596.886525,456784.7012993054
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1751,624.0,mid-range,1,2715,295498.38,515668.15,612908.4297142858,636523.1519029945
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,1765,0.0,mid-range,0,2205,302676.54000000004,547539.18,648662.8223062501,884761.8567269483
"[""Bathroom"", ""Kitchen""]",0,1,500,0.0,high-end,0,2951,87395.3,547308.63,608332.13205,636523.1519029945
"[""Bathroom"", ""Living room""]",0,1,459,151.0,mid-range,1,2120,90500.48,415849.4,456832.53320000006,440857.28859962634
"[""Bathroom"", ""Other/Custom""]",0,1,546,301.0,budget-friendly,1,7395,80074.26,2532878.91,2633488.1122500002,2492746.2538584336
"[""Bathroom"", ""Other/Custom""]",0,1,368,0.0,budget-friendly,0,1099,43657.18,386815.11,411844.14615000004,362201.48039049795
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,4,2605,774.0,mid-range,1,3509,456584.1999999999,453263.61,538559.5802454546,583917.6428237398
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1355,452.0,mid-range,1,1516,160530.13,461426.46,540642.2193300001,512787.1344803147
