renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
"['Bedroom', 'Other', 'Living room']",3,0,"{'bedrooms': [119, 155, 1], 'bathrooms': [], 'other': {'Other': 277, 'Living room': 116}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [164, 160, 162], 'bathrooms': [], 'other': {'Other': 256, 'Living room': 177}}","{'bedrooms': ['High-end', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",2255,Altrincham,197970.94,710325.0
"['Bedroom', 'Other', 'Living room']",3,0,"{'bedrooms': [180, 95, 74], 'bathrooms': [], 'other': {'Other': 25, 'Living room': 124}}","['No', 'Yes', 'Yes', 'No', 'No']","{'bedrooms': [133, 106, 82], 'bathrooms': [], 'other': {'Other': 191, 'Living room': 166}}","{'bedrooms': ['Budget-friendly', 'High-end', 'High-end'], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Living room': 'Budget-friendly'}}",1303,Bury,139790.56,224767.5
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 82, 'Other': 176}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 209, 'Other': 258}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Other': 'Mid-range'}}",998,Levenshulme,44306.47,289420.0
"['Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 237, 'Kitchen': 34}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 183, 'Kitchen': 143}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",708,Oldham,44894.98,141600.0
"['Bathroom', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [13, 6, 8], 'other': {'Kitchen': 45}}","['Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [39, 42, 95], 'other': {'Kitchen': 286}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range', 'Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",795,Bolton,84752.62,125212.5
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [60, 61, 66], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [60, 58, 75], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end', 'Mid-range'], 'other': {}}",780,Tameside,65482.14,145860.0
['Bedroom'],4,0,"{'bedrooms': [139, 186, 21, 129], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [133, 186, 111, 120], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'High-end', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1438,Wigan,115333.17,226485.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 193}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 183}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",563,Salford,28311.15,157640.0
"['Bathroom', 'Kitchen', 'Bedroom']",1,3,"{'bedrooms': [33], 'bathrooms': [24, 5, 72], 'other': {'Kitchen': 127}}","['Yes', 'Yes', 'No', 'No', 'Yes']","{'bedrooms': [175], 'bathrooms': [99, 73, 73], 'other': {'Kitchen': 147}}","{'bedrooms': ['Mid-range'], 'bathrooms': ['High-end', 'High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",872,Bury,114822.92,150420.0
"['Bathroom', 'Bedroom']",3,3,"{'bedrooms': [75, 35, 79], 'bathrooms': [47, 58, 45], 'other': {}}","['Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [127, 166, 86], 'bathrooms': [100, 44, 70], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': ['Budget-friendly', 'Mid-range', 'High-end'], 'other': {}}",1384,Chorlton,165016.27000000002,415200.0
"['Living room', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [34], 'other': {'Living room': 41}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [73], 'other': {'Living room': 104}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",1399,Prestwich,49225.1,356745.0
"['Bathroom', 'Kitchen', 'Living room']",0,2,"{'bedrooms': [], 'bathrooms': [72, 70], 'other': {'Kitchen': 256, 'Living room': 25}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [86, 43], 'other': {'Kitchen': 189, 'Living room': 216}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end'], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Mid-range'}}",1654,Cheadle,179906.1,508605.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [31, 30], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [53, 95], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {}}",716,Prestwich,46801.43,182580.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 66}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 227}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1485,Altrincham,26668.09,623700.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [21, 65], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [47, 73], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {}}",1141,Wigan,58904.24,203668.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 141}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 112}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1769,Stretford,39364.71,583770.0
"['Bathroom', 'Other']",0,2,"{'bedrooms': [], 'bathrooms': [21, 6], 'other': {'Other': 287}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [76, 48], 'other': {'Other': 252}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Other': 'High-end'}}",1022,Withington,70884.61,245280.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 208, 'Living room': 221}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 166, 'Living room': 218}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",938,Altrincham,45331.26,334866.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 130}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 127}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",765,Stockport,21638.8,218790.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 108}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 195}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",1309,Stockport,30130.63,340340.0
"['Bathroom', 'Living room', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [53], 'other': {'Living room': 137, 'Kitchen': 51}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [71], 'other': {'Living room': 236, 'Kitchen': 133}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'Budget-friendly'}}",1579,Stockport,79030.66,307905.0
"['Bathroom', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [30], 'other': {'Living room': 14}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [100], 'other': {'Living room': 128}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",928,Trafford,40319.509999999995,361920.0
"['Bedroom', 'Other']",1,0,"{'bedrooms': [79], 'bathrooms': [], 'other': {'Other': 219}}","['Yes', 'No']","{'bedrooms': [126], 'bathrooms': [], 'other': {'Other': 112}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1666,Trafford,87905.41,487305.0
"['Bathroom', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [23, 40, 13], 'other': {'Other': 241}}","['Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [39, 66, 85], 'other': {'Other': 140}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'other': {'Other': 'Mid-range'}}",1020,Bolton,89198.9,160650.0
"['Living room', 'Bedroom']",3,0,"{'bedrooms': [116, 102, 76], 'bathrooms': [], 'other': {'Living room': 240}}","['No', 'No', 'Yes', 'Yes']","{'bedrooms': [131, 122, 108], 'bathrooms': [], 'other': {'Living room': 186}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly'], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1607,Cheadle,151991.26,494152.5
"['Kitchen', 'Living room', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [2, 14, 13], 'other': {'Kitchen': 146, 'Living room': 189}}","['Yes', 'Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [40, 93, 44], 'other': {'Kitchen': 276, 'Living room': 127}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",1125,Cheadle,132993.55,345937.5
"['Bathroom', 'Other']",0,1,"{'bedrooms': [], 'bathrooms': [37], 'other': {'Other': 213}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [83], 'other': {'Other': 177}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Other': 'High-end'}}",1355,Didsbury,58075.69,483735.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 117}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 256}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1450,Ashton-under-Lyne,25876.67,311750.0
"['Living room', 'Bedroom']",2,0,"{'bedrooms': [22, 23], 'bathrooms': [], 'other': {'Living room': 41}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [164, 88], 'bathrooms': [], 'other': {'Living room': 203}}","{'bedrooms': ['Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1175,Rochdale,81850.06,167437.5
"['Other', 'Kitchen', 'Bedroom']",2,0,"{'bedrooms': [72, 75], 'bathrooms': [], 'other': {'Other': 24, 'Kitchen': 248}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [131, 149], 'bathrooms': [], 'other': {'Other': 220, 'Kitchen': 181}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'High-end'}}",2372,Cheadle,162755.15000000002,729390.0
"['Kitchen', 'Bedroom']",1,0,"{'bedrooms': [1], 'bathrooms': [], 'other': {'Kitchen': 149}}","['Yes', 'Yes']","{'bedrooms': [191], 'bathrooms': [], 'other': {'Kitchen': 215}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1384,Cheadle,52229.149999999994,482324.0
"['Kitchen', 'Bathroom', 'Bedroom']",1,2,"{'bedrooms': [172], 'bathrooms': [78, 18], 'other': {'Kitchen': 153}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [102], 'bathrooms': [51, 47], 'other': {'Kitchen': 150}}","{'bedrooms': ['High-end'], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Kitchen': 'Mid-range'}}",1265,Chorlton,109707.39,379500.0
"['Other', 'Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [1, 60], 'other': {'Other': 162, 'Kitchen': 209}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [95, 90], 'other': {'Other': 161, 'Kitchen': 142}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {'Other': 'High-end', 'Kitchen': 'High-end'}}",1852,Cheadle,184552.03,569490.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 218}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 203}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1351,Wigan,28665.62,283710.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 247, 'Living room': 86}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 152, 'Living room': 272}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Budget-friendly'}}",1225,Prestwich,53860.42,312375.0
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 91, 'Other': 12}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 140, 'Other': 91}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Other': 'High-end'}}",621,Manchester City Centre,45041.82,184747.5
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 116}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 122}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1052,Oldham,23368.01,231440.0
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 150, 'Kitchen': 12}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 88, 'Kitchen': 225}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Kitchen': 'High-end'}}",1894,Trafford,89840.34,553995.0
"['Living room', 'Kitchen', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [21, 17, 51], 'other': {'Living room': 235, 'Kitchen': 85}}","['Yes', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [62, 45, 36], 'other': {'Living room': 118, 'Kitchen': 235}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end', 'High-end'], 'other': {'Living room': 'Mid-range', 'Kitchen': 'Mid-range'}}",1420,Bury,143089.25,244950.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 70}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 194}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",920,Stockport,20485.06,263120.0
"['Bathroom', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [71, 17, 33], 'other': {'Other': 192}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [81, 38, 97], 'other': {'Other': 185}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly'], 'other': {'Other': 'High-end'}}",724,Manchester City Centre,84819.25,190050.0
"['Living room', 'Bedroom', 'Bathroom']",1,1,"{'bedrooms': [42], 'bathrooms': [24], 'other': {'Living room': 34}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [90], 'bathrooms': [54], 'other': {'Living room': 118}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['Mid-range'], 'other': {'Living room': 'Mid-range'}}",950,Trafford,66265.81,314925.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 106}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 118}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",638,Manchester City Centre,21638.8,245630.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 56}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 86}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1180,Bolton,26668.09,247800.0
"['Kitchen', 'Bedroom']",1,0,"{'bedrooms': [31], 'bathrooms': [], 'other': {'Kitchen': 50}}","['Yes', 'Yes']","{'bedrooms': [90], 'bathrooms': [], 'other': {'Kitchen': 268}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",508,Salford,53131.26,120904.0
"['Other', 'Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 263, 'Living room': 267, 'Kitchen': 79}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 144, 'Living room': 246, 'Kitchen': 275}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'High-end', 'Kitchen': 'Budget-friendly'}}",1695,Bolton,139492.11,266962.5
"['Bedroom', 'Other']",3,0,"{'bedrooms': [67, 17, 36], 'bathrooms': [], 'other': {'Other': 288}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [181, 190, 170], 'bathrooms': [], 'other': {'Other': 194}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",2083,Trafford,164217.54,609277.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 34}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 243}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",982,Prestwich,25970.74,294600.0
"['Kitchen', 'Bedroom']",2,0,"{'bedrooms': [55, 78], 'bathrooms': [], 'other': {'Kitchen': 64}}","['No', 'No', 'Yes']","{'bedrooms': [118, 192], 'bathrooms': [], 'other': {'Kitchen': 130}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",665,Tameside,74969.02,109725.0
"['Living room', 'Kitchen', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [27], 'other': {'Living room': 116, 'Kitchen': 51}}","['No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [83], 'other': {'Living room': 138, 'Kitchen': 266}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Living room': 'High-end', 'Kitchen': 'High-end'}}",1422,Stockport,91436.89,277290.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 239}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 157}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",976,Rochdale,34881.14,185440.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 104}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 199}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",980,Oldham,18680.71,215600.0
"['Bedroom', 'Living room', 'Bathroom']",1,3,"{'bedrooms': [168], 'bathrooms': [42, 45, 71], 'other': {'Living room': 61}}","['Yes', 'Yes', 'Yes', 'No', 'No']","{'bedrooms': [152], 'bathrooms': [75, 100, 85], 'other': {'Living room': 99}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['Budget-friendly', 'High-end', 'High-end'], 'other': {'Living room': 'Mid-range'}}",1591,Cheadle,147332.87,489232.5
"['Bathroom', 'Other']",0,2,"{'bedrooms': [], 'bathrooms': [76, 75], 'other': {'Other': 21}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [73, 82], 'other': {'Other': 107}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range'], 'other': {'Other': 'High-end'}}",1315,Prestwich,82510.65,295875.0
"['Bedroom', 'Living room']",4,0,"{'bedrooms': [26, 82, 21, 28], 'bathrooms': [], 'other': {'Living room': 263}}","['Yes', 'No', 'Yes', 'No', 'Yes']","{'bedrooms': [131, 125, 113, 132], 'bathrooms': [], 'other': {'Living room': 228}}","{'bedrooms': ['High-end', 'Mid-range', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1564,Altrincham,142788.03999999998,492660.0
"['Living room', 'Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [19], 'other': {'Living room': 169, 'Kitchen': 166}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [52], 'other': {'Living room': 228, 'Kitchen': 228}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'High-end'}}",1313,Prestwich,92174.43,295425.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 64}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 256}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",708,Levenshulme,22513.19,225852.0
"['Other', 'Bedroom']",1,0,"{'bedrooms': [109], 'bathrooms': [], 'other': {'Other': 251}}","['Yes', 'No']","{'bedrooms': [96], 'bathrooms': [], 'other': {'Other': 130}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",886,Prestwich,57245.43,225930.0
"['Other', 'Kitchen', 'Bedroom']",2,0,"{'bedrooms': [87, 176], 'bathrooms': [], 'other': {'Other': 130, 'Kitchen': 218}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [142, 172], 'bathrooms': [], 'other': {'Other': 162, 'Kitchen': 128}}","{'bedrooms': ['High-end', 'Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'High-end'}}",1720,Wigan,173065.71000000002,270900.0
"['Living room', 'Kitchen', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [58, 23], 'other': {'Living room': 133, 'Kitchen': 88}}","['No', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [77, 53], 'other': {'Living room': 148, 'Kitchen': 280}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Mid-range', 'Kitchen': 'High-end'}}",1124,Rochdale,108736.28,160170.0
['Bedroom'],2,0,"{'bedrooms': [151, 80], 'bathrooms': [], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [170, 199], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Mid-range'], 'bathrooms': [], 'other': {}}",1153,Levenshulme,59603.92,284214.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 209}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 130}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",848,Ashton-under-Lyne,26462.04,182320.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 273}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 224}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",2469,Cheadle,48242.65,860446.5
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [12], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [45], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {}}",1446,Rochdale,26742.96,274740.0
"['Bathroom', 'Kitchen', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [77], 'other': {'Kitchen': 237, 'Living room': 108}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [39], 'other': {'Kitchen': 102, 'Living room': 260}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Kitchen': 'Mid-range', 'Living room': 'High-end'}}",1307,Didsbury,85539.21,411705.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 129}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 137}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1407,Rochdale,24030.3,294063.0
